ProductID,Date,Zip,Units,Revenue,Country
725,1/15/2000,41540,1,115.45,Germany
787,6/6/2003,41540,1,314.95,Germany
788,6/6/2003,41540,1,314.95,Germany
940,1/15/2000,22587,1,687.7,Germany
396,1/15/2000,22587,1,857.06,Germany
734,4/10/2004,22587,1,330.7,Germany
769,2/15/2000,22587,1,257.2,Germany
499,1/15/2000,12555,1,846.3,Germany
2254,1/15/2000,40217,1,57.7,Germany
31,5/31/2003,40217,1,761.25,Germany
475,2/15/2000,13583,1,970.2,Germany
510,1/15/2000,22337,1,837.11,Germany
499,6/5/2003,22337,1,883.05,Germany
289,2/15/2000,13587,1,865.99,Germany
702,2/15/2000,13587,1,286.07,Germany
910,3/15/2000,13587,1,414.7,Germany
901,2/15/2000,13587,2,818.9,Germany
550,1/15/2000,22177,1,403.99,Germany
559,1/15/2000,22177,1,585.64,Germany
767,6/7/2003,22177,1,104.95,Germany
1000,4/11/2004,13589,1,89.2,Germany
559,1/15/2000,21129,1,585.64,Germany
716,4/10/2004,21129,1,152.2,Germany
966,4/10/2004,21129,1,472.45,Germany
604,1/15/2000,42549,1,461.74,Germany
609,1/15/2000,42549,1,778.84,Germany
2054,6/5/2003,42549,1,545.95,Germany
2205,6/5/2003,42549,1,157.45,Germany
2204,6/5/2003,42549,1,157.45,Germany
2252,6/5/2003,42549,1,136.45,Germany
2253,6/5/2003,42549,1,136.45,Germany
574,6/8/2003,13595,1,869.14,Germany
676,1/15/2000,21107,2,1603.88,Germany
727,1/15/2000,22149,1,62.95,Germany
472,4/10/2004,22149,1,961.28,Germany
921,1/15/2000,27499,1,524.95,Germany
946,5/31/2003,27499,1,692.95,Germany
606,2/15/2000,10119,1,314.74,Germany
1066,1/15/2000,41066,1,296.57,Germany
1065,1/15/2000,41066,1,296.57,Germany
559,6/6/2003,41066,1,624.49,Germany
1188,1/15/2000,22359,1,472.45,Germany
36,2/15/2000,22359,1,414.75,Germany
1014,2/15/2000,22359,1,86.57,Germany
2331,1/15/2000,10243,1,535.45,Germany
532,3/15/2000,10243,1,556.45,Germany
604,4/10/2004,10243,2,989.63,Germany
647,4/10/2004,10243,1,922.16,Germany
1014,5/31/2003,10243,1,86.57,Germany
571,6/11/2004,10243,1,527.1,Germany
1990,1/15/2000,45138,1,257.2,Germany
2396,6/10/2003,10245,1,89.2,Germany
906,4/12/2004,10247,1,419.95,Germany
2240,4/13/2004,10247,1,89.2,Germany
2241,4/13/2004,10247,1,89.2,Germany
2400,4/13/2004,10247,1,89.2,Germany
433,2/15/2000,10247,1,804.3,Germany
475,1/15/2000,45130,1,970.2,Germany
491,1/15/2000,22761,1,815.33,Germany
769,5/31/2003,22761,1,262.45,Germany
573,2/15/2000,22761,1,280.61,Germany
631,2/15/2000,10315,1,346.24,Germany
2254,2/15/2000,10315,1,57.7,Germany
475,2/15/2000,10315,1,970.2,Germany
2255,2/15/2000,10315,1,57.7,Germany
604,1/15/2000,10315,1,461.74,Germany
565,6/3/2003,10315,1,881.74,Germany
573,1/15/2000,22767,1,280.61,Germany
580,2/15/2000,10318,1,734.74,Germany
609,2/15/2000,10318,1,778.84,Germany
396,2/15/2000,10318,1,857.06,Germany
550,6/3/2003,10318,1,429.19,Germany
604,1/15/2000,41469,1,461.74,Germany
491,3/15/2000,10319,2,1630.65,Germany
725,5/31/2003,10319,1,120.7,Germany
1215,2/15/2000,10319,1,362.2,Germany
606,2/15/2000,10319,1,314.74,Germany
609,1/15/2000,22111,1,778.84,Germany
445,6/6/2003,22111,1,860.48,Germany
676,2/15/2000,22111,1,801.94,Germany
1975,2/15/2000,10365,1,52.45,Germany
1081,2/15/2000,10365,1,225.7,Germany
964,3/15/2000,10365,1,346.45,Germany
2056,3/15/2000,10365,1,320.2,Germany
533,6/7/2003,10365,1,524.74,Germany
683,1/15/2000,10365,1,788.03,Germany
396,2/15/2000,10365,1,857.06,Germany
499,2/15/2000,10367,1,851.55,Germany
676,3/15/2000,10367,1,801.94,Germany
1017,6/8/2003,10367,1,262.45,Germany
2407,2/15/2000,10367,1,73.45,Germany
396,2/15/2000,10367,1,857.06,Germany
574,5/31/2003,40591,1,869.14,Germany
725,5/31/2003,40591,1,120.7,Germany
1116,2/15/2000,40591,1,251.95,Germany
396,2/15/2000,40591,1,857.06,Germany
475,4/12/2004,10407,1,1037.4,Germany
2375,4/13/2004,10407,1,698.2,Germany
1911,3/15/2000,10407,1,244.07,Germany
2094,3/15/2000,10407,1,433.07,Germany
906,5/31/2003,10407,1,419.95,Germany
691,6/3/2003,10407,1,351.49,Germany
475,2/15/2000,10407,1,970.2,Germany
2287,2/15/2000,10407,1,839.95,Germany
513,2/15/2000,10407,1,451.45,Germany
580,2/15/2000,10407,1,734.74,Germany
739,5/31/2003,41470,1,173.2,Germany
826,5/31/2003,10409,1,944.95,Germany
609,6/8/2003,10409,1,829.24,Germany
580,2/15/2000,10409,1,734.74,Germany
475,6/3/2003,10409,1,1007.21,Germany
767,5/31/2003,41169,1,104.95,Germany
981,6/6/2003,41169,1,157.45,Germany
475,2/15/2000,10435,1,970.2,Germany
910,3/15/2000,10435,2,829.4,Germany
559,4/11/2004,10435,1,643.39,Germany
491,1/15/2000,10435,1,815.33,Germany
758,5/31/2003,10435,1,83.95,Germany
967,5/31/2003,10435,1,671.95,Germany
1157,3/15/2000,10435,1,377.95,Germany
645,3/15/2000,10435,2,1493.1,Germany
475,6/7/2003,10435,1,1007.21,Germany
475,1/15/2000,10435,1,970.2,Germany
862,4/10/2004,10435,2,608.9,Germany
488,4/11/2004,10435,1,1098.56,Germany
785,5/31/2003,10435,1,68.2,Germany
499,2/15/2000,10435,2,1692.6,Germany
604,2/15/2000,10435,1,461.74,Germany
826,5/31/2003,40233,1,944.95,Germany
396,1/15/2000,10551,1,857.06,Germany
1903,6/5/2003,10551,1,766.45,Germany
1006,5/31/2003,41065,1,89.2,Germany
2400,6/5/2003,41065,1,94.45,Germany
606,6/5/2003,41065,1,323.14,Germany
475,2/15/2000,41065,1,970.2,Germany
606,2/15/2000,10553,1,314.74,Germany
2046,5/31/2003,22041,1,433.07,Germany
2071,5/31/2003,22417,1,346.45,Germany
2074,5/31/2003,22417,1,335.95,Germany
599,2/15/2000,22417,1,753.64,Germany
2331,5/31/2003,10557,1,540.7,Germany
1000,6/8/2003,10557,1,89.2,Germany
426,6/10/2003,10557,1,843.15,Germany
94,6/10/2003,10557,1,891.98,Germany
1204,3/15/2000,10559,1,419.95,Germany
2353,5/31/2003,40597,1,414.7,Germany
604,6/7/2003,40597,1,480.64,Germany
604,2/15/2000,40597,1,461.74,Germany
2074,5/31/2003,40597,1,335.95,Germany
663,2/15/2000,40597,1,765.45,Germany
533,6/1/2003,10585,1,524.74,Germany
596,6/3/2003,10585,1,776.74,Germany
396,3/15/2000,10585,1,857.06,Germany
658,1/15/2000,10585,1,902.74,Germany
1203,3/15/2000,10585,1,314.95,Germany
922,3/15/2000,10585,1,472.45,Germany
433,6/3/2003,10585,1,851.55,Germany
671,6/5/2003,10585,1,892.24,Germany
671,6/11/2004,10585,1,944.74,Germany
2373,5/31/2003,41464,1,587.95,Germany
491,3/15/2000,10587,1,815.33,Germany
596,1/15/2000,10587,1,746.55,Germany
396,2/15/2000,10587,1,857.06,Germany
599,2/15/2000,10587,1,753.64,Germany
488,6/4/2003,10587,1,1007.21,Germany
133,6/5/2003,10587,1,639.98,Germany
604,2/15/2000,10587,1,461.74,Germany
499,2/15/2000,10587,1,846.3,Germany
573,5/31/2003,40212,1,298.99,Germany
530,2/15/2000,40212,1,619.45,Germany
725,5/31/2003,22305,1,120.7,Germany
1383,6/5/2003,22305,1,341.15,Germany
1384,6/5/2003,22305,1,341.15,Germany
638,4/9/2004,41063,1,1008.79,Germany
786,4/9/2004,40764,1,57.7,Germany
1191,4/11/2004,10627,1,267.7,Germany
1063,3/15/2000,10627,1,233.57,Germany
2373,2/15/2000,10627,1,551.2,Germany
609,2/15/2000,10627,1,778.84,Germany
2388,3/15/2000,10629,1,309.7,Germany
2234,3/15/2000,10629,1,65.57,Germany
910,4/10/2004,42369,1,430.45,Germany
606,6/5/2003,42369,1,323.14,Germany
604,2/15/2000,42369,1,461.74,Germany
2199,4/10/2004,22297,1,188.95,Germany
443,4/10/2004,22297,1,851.29,Germany
400,6/5/2003,22297,1,734.74,Germany
475,3/15/2000,10711,1,970.2,Germany
760,4/11/2004,10713,1,146.95,Germany
759,4/11/2004,10713,1,146.95,Germany
502,4/10/2004,22115,1,1105.91,Germany
599,2/15/2000,10715,1,753.64,Germany
669,4/10/2004,22087,1,1364.74,Germany
103,6/5/2003,22087,1,855.23,Germany
573,2/15/2000,22087,1,280.61,Germany
838,3/15/2000,10717,1,934.45,Germany
1227,3/15/2000,10717,1,314.95,Germany
551,4/12/2004,10717,1,922.16,Germany
396,1/15/2000,10717,1,857.06,Germany
604,6/7/2003,10717,1,480.64,Germany
2045,2/15/2000,10719,1,409.45,Germany
464,6/7/2003,10719,1,866.25,Germany
433,2/15/2000,10777,1,804.3,Germany
990,3/15/2000,10777,1,472.45,Germany
606,6/4/2003,10777,1,323.14,Germany
797,4/10/2004,22609,1,309.7,Germany
1066,2/15/2000,22609,1,296.57,Germany
727,1/15/2000,45143,1,62.95,Germany
2407,2/15/2000,45143,1,73.45,Germany
491,2/15/2000,45143,1,815.33,Germany
740,1/15/2000,41517,1,170.57,Germany
726,6/6/2003,41517,1,120.7,Germany
725,6/6/2003,41517,1,120.7,Germany
609,2/15/2000,10785,1,778.84,Germany
1066,1/15/2000,41749,1,296.57,Germany
2235,6/6/2003,41749,1,70.82,Germany
2234,6/6/2003,41749,1,70.82,Germany
396,4/12/2004,10787,1,913.76,Germany
683,2/15/2000,42389,1,788.03,Germany
530,3/15/2000,10789,1,619.45,Germany
1157,3/15/2000,10789,1,377.95,Germany
797,2/15/2000,21149,1,301.82,Germany
758,3/15/2000,10823,1,83.95,Germany
1948,3/15/2000,10823,1,293.95,Germany
1836,4/10/2004,10823,1,146.95,Germany
1014,5/31/2003,10823,1,86.57,Germany
663,2/15/2000,10823,1,765.45,Germany
330,2/15/2000,10823,1,577.24,Germany
467,6/5/2003,21073,1,900.64,Germany
396,2/15/2000,10827,1,857.06,Germany
513,3/15/2000,10829,1,451.45,Germany
2331,2/15/2000,10829,1,535.45,Germany
1191,3/15/2000,10967,1,257.2,Germany
2387,4/13/2004,10967,1,493.45,Germany
2253,5/31/2003,10967,1,136.45,Germany
2252,5/31/2003,10967,1,136.45,Germany
2145,6/5/2003,22559,1,383.2,Germany
687,6/7/2003,22559,1,456.49,Germany
2388,6/10/2003,12043,1,309.7,Germany
687,2/15/2000,12043,1,445.99,Germany
989,2/15/2000,12043,1,467.2,Germany
532,6/5/2003,45145,1,577.24,Germany
683,6/5/2003,45145,1,839.74,Germany
981,6/6/2003,45145,1,157.45,Germany
