ProductID,Date,Zip,Units,Revenue,Country
726,1/15/2000,75056 CEDEX 01,1,115.45,France
1909,1/15/2000,75056 CEDEX 01,2,398.9,France
1961,2/15/2000,75056 CEDEX 01,1,97.07,France
1517,2/15/2000,75056 CEDEX 01,1,141.65,France
606,2/15/2000,75056 CEDEX 01,1,314.74,France
1518,2/15/2000,75056 CEDEX 01,1,141.65,France
786,5/31/2003,75001,1,68.2,France
727,1/15/2000,75063 CEDEX 02,2,125.9,France
559,1/15/2000,75063 CEDEX 02,1,585.64,France
728,1/15/2000,75063 CEDEX 02,2,125.9,France
964,4/10/2004,75063 CEDEX 02,1,320.2,France
475,4/11/2004,75063 CEDEX 02,1,1037.4,France
2055,6/5/2003,75063 CEDEX 02,1,569.57,France
1535,2/15/2000,75063 CEDEX 02,1,309.65,France
1536,2/15/2000,75063 CEDEX 02,1,309.65,France
757,1/15/2000,75048 CEDEX 01,2,167.9,France
2047,2/15/2000,75048 CEDEX 01,1,372.7,France
758,3/15/2000,75003,1,83.95,France
767,1/15/2000,75020,1,104.95,France
2199,1/15/2000,75020,1,175.82,France
2254,1/15/2000,75020,1,57.7,France
2240,5/31/2003,75020,1,89.2,France
2295,5/31/2003,75020,1,860.95,France
1186,6/3/2003,75020,1,404.2,France
768,1/15/2000,75020,1,104.95,France
767,2/15/2000,75020,1,104.95,France
2277,2/15/2000,75020,1,251.95,France
663,2/15/2000,75020,1,765.45,France
768,2/15/2000,75020,1,104.95,France
1122,2/15/2000,75020,2,314.9,France
901,3/15/2000,75020,1,409.45,France
396,5/31/2003,75004,1,892.24,France
770,2/15/2000,75004,3,771.59,France
901,2/15/2000,75004,1,409.45,France
921,2/15/2000,75004,1,524.95,France
726,2/15/2000,75004,2,230.9,France
758,2/15/2000,75004,2,167.9,France
964,2/15/2000,75004,2,713.9,France
797,2/15/2000,75004,3,905.47,France
838,2/15/2000,75004,1,934.45,France
901,3/15/2000,75004,1,409.45,France
769,2/15/2000,75004,3,771.59,France
609,2/15/2000,75004,1,778.84,France
725,2/15/2000,75004,2,230.9,France
757,2/15/2000,75004,2,167.9,France
901,1/15/2000,75082 CEDEX 02,1,409.45,France
687,1/15/2000,75005,1,445.99,France
683,6/1/2003,75005,1,839.74,France
1173,1/15/2000,75134 CEDEX 11,1,524.95,France
2056,5/31/2003,75134 CEDEX 11,1,330.7,France
2254,2/15/2000,75134 CEDEX 11,1,57.7,France
726,3/15/2000,75134 CEDEX 11,1,115.45,France
2255,2/15/2000,75134 CEDEX 11,1,57.7,France
2032,3/15/2000,75134 CEDEX 11,1,220.45,France
2255,2/15/2000,75006,1,57.7,France
989,3/15/2000,75006,1,451.45,France
2234,1/15/2000,75215 CEDEX 16,2,131.15,France
2277,1/15/2000,75215 CEDEX 16,1,251.95,France
2240,5/31/2003,75215 CEDEX 16,1,89.2,France
676,6/6/2003,75007,1,837.38,France
2254,1/15/2000,75023 CEDEX 01,1,57.7,France
2255,1/15/2000,75023 CEDEX 01,1,57.7,France
901,3/15/2000,75023 CEDEX 01,2,818.9,France
796,3/15/2000,75008,1,267.7,France
1014,3/15/2000,75008,2,173.15,France
2277,1/15/2000,75172 CEDEX 17,1,251.95,France
2282,1/15/2000,75229 CEDEX 05,1,304.45,France
1116,2/15/2000,75229 CEDEX 05,1,251.95,France
