ProductID,Date,Zip,Units,Revenue,Country
2235,1/15/2000,8650,1,65.57,Mexico
837,2/15/2000,8650,1,839.95,Mexico
491,2/15/2000,8650,1,815.33,Mexico
426,5/31/2003,8650,1,843.15,Mexico
400,6/6/2003,8650,1,734.74,Mexico
1131,2/15/2000,8650,1,419.95,Mexico
2277,3/15/2000,8650,1,251.95,Mexico
491,3/15/2000,8650,1,815.33,Mexico
467,6/8/2003,8650,1,900.64,Mexico
565,4/12/2004,2000,1,890.66,Mexico
604,4/12/2004,2000,1,494.81,Mexico
940,3/15/2000,2000,1,687.7,Mexico
2277,1/15/2000,8640,1,251.95,Mexico
739,1/15/2000,2008,1,170.57,Mexico
2188,1/15/2000,2008,1,233.57,Mexico
1894,1/15/2000,2008,1,682.24,Mexico
757,4/11/2004,2008,1,73.45,Mexico
758,4/11/2004,2008,1,73.45,Mexico
2373,3/15/2000,2008,1,551.2,Mexico
606,1/15/2000,8830,1,314.74,Mexico
2082,4/10/2004,8830,1,335.95,Mexico
2284,2/15/2000,8830,1,293.95,Mexico
2055,6/3/2003,2009,1,569.57,Mexico
396,3/15/2000,2009,1,857.06,Mexico
658,1/15/2000,9130,1,902.74,Mexico
992,4/11/2004,9130,1,278.2,Mexico
2282,1/15/2000,9130,1,304.45,Mexico
2255,5/31/2003,9130,1,60.32,Mexico
1182,2/15/2000,9130,1,157.45,Mexico
2056,2/15/2000,9130,1,325.45,Mexico
2254,5/31/2003,9130,1,60.32,Mexico
671,6/3/2003,9130,1,892.24,Mexico
687,1/15/2000,9160,1,445.99,Mexico
599,2/15/2000,9160,1,753.64,Mexico
1927,5/31/2003,9160,1,99.7,Mexico
1926,5/31/2003,9160,1,99.7,Mexico
2074,5/31/2003,9160,1,335.95,Mexico
683,3/15/2000,2020,1,788.03,Mexico
713,1/15/2000,7708,1,160.07,Mexico
1116,2/15/2000,7708,1,251.95,Mexico
725,1/15/2000,9410,1,115.45,Mexico
2388,2/15/2000,9410,1,309.7,Mexico
2045,2/15/2000,9410,1,409.45,Mexico
2234,2/15/2000,9410,1,65.57,Mexico
726,1/15/2000,9410,1,115.45,Mexico
758,1/15/2000,9410,1,83.95,Mexico
767,1/15/2000,9410,1,104.95,Mexico
2235,2/15/2000,9410,1,65.57,Mexico
726,1/15/2000,8730,1,115.45,Mexico
728,2/15/2000,8730,1,62.95,Mexico
725,1/15/2000,8730,1,115.45,Mexico
727,2/15/2000,8730,1,62.95,Mexico
433,1/15/2000,2060,1,804.3,Mexico
728,1/15/2000,8010,1,62.95,Mexico
1990,2/15/2000,8010,1,257.2,Mexico
727,1/15/2000,8010,1,62.95,Mexico
1116,1/15/2000,8010,1,251.95,Mexico
2083,3/15/2000,8010,1,309.7,Mexico
981,1/15/2000,2070,1,157.45,Mexico
2235,1/15/2000,2070,1,65.57,Mexico
740,1/15/2000,7740,1,170.57,Mexico
739,1/15/2000,7740,1,170.57,Mexico
2211,1/15/2000,7740,1,107.57,Mexico
2234,1/15/2000,7740,1,65.57,Mexico
609,2/15/2000,7740,1,778.84,Mexico
2284,3/15/2000,7740,1,293.95,Mexico
757,1/15/2000,7580,2,167.9,Mexico
1173,2/15/2000,7580,1,524.95,Mexico
491,2/15/2000,7580,2,1630.65,Mexico
574,6/3/2003,7580,1,869.14,Mexico
443,2/15/2000,7580,1,790.91,Mexico
597,2/15/2000,7580,1,892.24,Mexico
433,1/15/2000,7580,1,804.3,Mexico
491,1/15/2000,7580,2,1630.65,Mexico
767,1/15/2000,7580,1,104.95,Mexico
1975,1/15/2000,7580,1,52.45,Mexico
2270,5/31/2003,7580,1,314.95,Mexico
2094,2/15/2000,7580,1,433.07,Mexico
2277,2/15/2000,7580,1,251.95,Mexico
1185,2/15/2000,7580,1,419.95,Mexico
426,2/15/2000,7580,1,795.11,Mexico
533,6/3/2003,7580,1,524.74,Mexico
676,3/15/2000,7580,2,1603.88,Mexico
758,1/15/2000,9400,1,83.95,Mexico
2373,4/10/2004,9400,1,619.45,Mexico
1920,6/4/2003,9400,1,262.45,Mexico
2211,1/15/2000,9400,1,107.57,Mexico
1122,2/15/2000,9400,1,157.45,Mexico
604,2/15/2000,9400,1,461.74,Mexico
772,1/15/2000,9330,1,165.32,Mexico
979,1/15/2000,8188,1,393.7,Mexico
631,2/15/2000,2109,1,346.24,Mexico
1120,1/15/2000,7729,1,173.2,Mexico
606,4/11/2004,7729,1,337.84,Mexico
2234,2/15/2000,7729,1,65.57,Mexico
1916,6/5/2003,7729,1,286.07,Mexico
2235,2/15/2000,7729,1,65.57,Mexico
1517,3/15/2000,7729,1,141.65,Mexico
728,3/15/2000,7729,1,62.95,Mexico
499,1/15/2000,2110,1,846.3,Mexico
730,5/31/2003,2110,1,309.7,Mexico
823,5/31/2003,2110,1,624.7,Mexico
826,5/31/2003,2110,1,918.7,Mexico
2081,1/15/2000,2110,1,220.45,Mexico
1065,2/15/2000,2110,1,296.57,Mexico
2268,3/15/2000,2110,1,309.7,Mexico
1990,1/15/2000,9010,1,257.2,Mexico
559,4/10/2004,9010,1,643.39,Mexico
1948,1/15/2000,9010,2,593.15,Mexico
400,1/15/2000,9010,1,683.81,Mexico
910,2/15/2000,9010,1,414.7,Mexico
2192,3/15/2000,9010,1,202.07,Mexico
2331,1/15/2000,7880,1,535.45,Mexico
596,2/15/2000,7880,1,746.55,Mexico
2016,4/10/2004,7880,1,309.7,Mexico
964,4/11/2004,7880,1,330.7,Mexico
580,2/15/2000,7880,1,734.74,Mexico
1935,5/31/2003,7880,1,136.45,Mexico
981,2/15/2000,7880,1,157.45,Mexico
1133,6/3/2003,2125,1,645.7,Mexico
193,2/15/2000,8500,1,681.98,Mexico
2279,2/15/2000,8500,1,165.32,Mexico
767,1/15/2000,8500,1,104.95,Mexico
1116,2/15/2000,8500,1,251.95,Mexico
726,6/8/2003,8500,1,120.7,Mexico
725,6/8/2003,8500,1,120.7,Mexico
433,2/15/2000,9300,1,804.3,Mexico
491,2/15/2000,9300,1,815.33,Mexico
1956,2/15/2000,9300,1,153.77,Mexico
1957,2/15/2000,9300,1,153.77,Mexico
2071,5/31/2003,9300,1,346.45,Mexico
550,2/15/2000,9300,1,403.99,Mexico
2083,2/15/2000,9300,1,309.7,Mexico
758,1/15/2000,2128,2,167.9,Mexico
757,1/15/2000,2128,2,167.9,Mexico
2012,3/15/2000,2128,1,377.95,Mexico
482,2/15/2000,9260,1,671.95,Mexico
491,4/12/2004,2129,1,890.66,Mexico
2094,6/4/2003,2129,1,438.32,Mexico
727,3/15/2000,2129,1,62.95,Mexico
901,3/15/2000,2129,1,409.45,Mexico
532,2/15/2000,2140,1,556.45,Mexico
604,2/15/2000,7800,1,461.74,Mexico
550,2/15/2000,7800,2,807.98,Mexico
318,1/15/2000,7800,1,865.99,Mexico
573,1/15/2000,7800,1,275.36,Mexico
2234,1/15/2000,7800,1,65.57,Mexico
400,2/15/2000,7800,1,683.81,Mexico
1436,3/15/2000,7800,1,312.27,Mexico
2005,3/15/2000,7800,1,299.2,Mexico
713,2/15/2000,7570,1,160.07,Mexico
714,2/15/2000,7570,1,160.07,Mexico
1182,2/15/2000,7570,1,157.45,Mexico
797,1/15/2000,7570,1,301.82,Mexico
1915,5/31/2003,7570,1,467.2,Mexico
976,5/31/2003,7570,2,629.9,Mexico
727,1/15/2000,7570,1,62.95,Mexico
767,2/15/2000,7570,1,104.95,Mexico
426,3/15/2000,7570,1,795.11,Mexico
768,2/15/2000,7570,1,104.95,Mexico
400,4/12/2004,2160,1,772.28,Mexico
725,2/15/2000,9359,1,115.45,Mexico
726,2/15/2000,9359,1,115.45,Mexico
946,5/31/2003,2169,1,708.7,Mexico
758,1/15/2000,2169,1,83.95,Mexico
757,3/15/2000,2169,1,83.95,Mexico
550,2/15/2000,2169,1,403.99,Mexico
1045,6/3/2003,2169,1,217.82,Mexico
1173,2/15/2000,2169,1,524.95,Mexico
2081,2/15/2000,2200,2,440.9,Mexico
767,2/15/2000,7909,1,104.95,Mexico
2331,2/15/2000,7909,1,535.45,Mexico
513,2/15/2000,7909,1,451.45,Mexico
754,2/15/2000,7909,1,244.07,Mexico
768,2/15/2000,7909,1,104.95,Mexico
753,2/15/2000,7909,1,244.07,Mexico
2050,2/15/2000,7909,1,498.7,Mexico
992,3/15/2000,7909,1,278.2,Mexico
769,2/15/2000,7548,1,257.2,Mexico
770,2/15/2000,7548,1,257.2,Mexico
725,1/15/2000,2240,1,115.45,Mexico
769,2/15/2000,9200,1,257.2,Mexico
396,2/15/2000,9200,1,857.06,Mexico
770,2/15/2000,9200,1,257.2,Mexico
901,2/15/2000,9200,1,409.45,Mexico
443,2/15/2000,9200,1,790.91,Mexico
1168,6/3/2003,9200,1,377.95,Mexico
754,3/15/2000,9200,1,241.45,Mexico
726,1/15/2000,2250,1,115.45,Mexico
758,1/15/2000,2250,1,83.95,Mexico
491,4/12/2004,2250,1,890.66,Mexico
767,1/15/2000,2250,1,104.95,Mexico
2388,2/15/2000,2250,1,309.7,Mexico
769,2/15/2000,9249,1,251.95,Mexico
770,2/15/2000,9249,1,251.95,Mexico
609,1/15/2000,2260,1,778.84,Mexico
599,1/15/2000,2310,1,753.64,Mexico
1188,2/15/2000,9099,1,472.45,Mexico
940,2/15/2000,2320,1,687.7,Mexico
2120,2/15/2000,2320,1,524.74,Mexico
1969,2/15/2000,7859,2,477.65,Mexico
713,2/15/2000,7859,1,160.07,Mexico
2255,2/15/2000,7859,1,57.7,Mexico
2188,1/15/2000,7859,1,233.57,Mexico
826,5/31/2003,7859,1,918.7,Mexico
2254,2/15/2000,7859,1,57.7,Mexico
714,2/15/2000,7859,1,160.07,Mexico
1968,2/15/2000,7859,2,477.65,Mexico
1139,6/3/2003,7859,1,682.45,Mexico
2374,3/15/2000,7859,1,629.95,Mexico
725,1/15/2000,2330,1,115.45,Mexico
728,1/15/2000,2330,1,62.95,Mexico
2380,5/31/2003,2330,1,293.95,Mexico
2352,2/15/2000,2330,1,367.45,Mexico
725,3/15/2000,2330,1,115.45,Mexico
604,1/15/2000,2340,1,461.74,Mexico
2331,2/15/2000,2340,1,535.45,Mexico
550,2/15/2000,2340,1,403.99,Mexico
714,3/15/2000,2340,1,160.07,Mexico
2081,2/15/2000,7780,1,220.45,Mexico
2204,2/15/2000,9540,1,173.2,Mexico
910,5/31/2003,9540,1,430.45,Mexico
2053,6/3/2003,9540,1,325.45,Mexico
559,2/15/2000,9540,1,585.64,Mexico
2255,2/15/2000,9540,1,57.7,Mexico
559,5/31/2003,9540,1,624.49,Mexico
2081,2/15/2000,9540,1,220.45,Mexico
901,2/15/2000,9540,1,409.45,Mexico
2205,2/15/2000,9540,1,173.2,Mexico
1168,2/15/2000,9540,1,367.45,Mexico
2254,2/15/2000,9540,1,57.7,Mexico
2352,3/15/2000,9540,1,367.45,Mexico
2255,1/15/2000,2360,1,57.7,Mexico
981,1/15/2000,2360,1,167.95,Mexico
597,3/15/2000,2360,1,892.24,Mexico
2211,2/15/2000,9430,1,107.57,Mexico
491,4/11/2004,9430,1,890.66,Mexico
1144,6/6/2003,9430,1,414.7,Mexico
2210,2/15/2000,9430,1,107.57,Mexico
645,1/15/2000,2400,1,746.55,Mexico
606,2/15/2000,2400,1,314.74,Mexico
2235,2/15/2000,8760,1,65.57,Mexico
964,5/31/2003,8760,2,656.15,Mexico
979,2/15/2000,8760,1,393.7,Mexico
2235,1/15/2000,8760,1,65.57,Mexico
1436,1/15/2000,8760,1,312.27,Mexico
396,1/15/2000,8760,1,857.06,Mexico
2234,2/15/2000,8760,1,65.57,Mexico
2388,2/15/2000,8760,1,309.7,Mexico
992,3/15/2000,8760,1,288.7,Mexico
2380,3/15/2000,8760,1,309.7,Mexico
2255,2/15/2000,8030,1,57.7,Mexico
2254,2/15/2000,8030,1,57.7,Mexico
2277,2/15/2000,7550,1,251.95,Mexico
1047,4/10/2004,7550,1,209.95,Mexico
989,5/31/2003,7550,1,419.95,Mexico
1935,6/3/2003,7550,1,136.45,Mexico
513,2/15/2000,7550,1,451.45,Mexico
609,2/15/2000,7550,1,778.84,Mexico
725,2/15/2000,7550,1,115.45,Mexico
1065,2/15/2000,7550,1,296.57,Mexico
433,1/15/2000,7550,2,1608.6,Mexico
726,1/15/2000,7550,1,115.45,Mexico
726,2/15/2000,7550,1,115.45,Mexico
767,2/15/2000,7550,1,104.95,Mexico
1066,2/15/2000,7550,1,296.57,Mexico
559,2/15/2000,7550,1,585.64,Mexico
768,2/15/2000,7550,1,104.95,Mexico
573,2/15/2000,7550,1,280.61,Mexico
1934,6/3/2003,7550,1,136.45,Mexico
475,6/3/2003,7550,1,1007.21,Mexico
2373,3/15/2000,7550,1,551.2,Mexico
989,6/7/2003,7550,1,419.95,Mexico
2277,2/15/2000,7889,1,251.95,Mexico
1173,3/15/2000,2420,1,524.95,Mexico
2373,2/15/2000,9207,1,551.2,Mexico
396,2/15/2000,9207,2,1714.13,Mexico
2388,1/15/2000,9207,1,309.7,Mexico
1085,5/31/2003,9207,1,84,Mexico
1201,5/31/2003,9207,1,577.45,Mexico
1927,5/31/2003,9207,1,99.7,Mexico
1086,5/31/2003,9207,1,84,Mexico
852,2/15/2000,9207,1,761.2,Mexico
94,2/15/2000,9207,1,866.25,Mexico
604,2/15/2000,9207,1,461.74,Mexico
2012,3/15/2000,9207,1,377.95,Mexico
2047,3/15/2000,9207,1,377.95,Mexico
2070,3/15/2000,9207,1,519.7,Mexico
729,3/15/2000,9207,1,301.82,Mexico
396,2/15/2000,7810,1,857.06,Mexico
2234,3/15/2000,2450,1,65.57,Mexico
433,2/15/2000,9479,1,804.3,Mexico
966,5/31/2003,9479,1,472.45,Mexico
989,2/15/2000,9479,1,467.2,Mexico
2192,2/15/2000,9479,1,202.07,Mexico
725,1/15/2000,2460,1,115.45,Mexico
767,1/15/2000,2470,1,104.95,Mexico
757,3/15/2000,2470,1,83.95,Mexico
551,4/11/2004,2470,1,922.16,Mexico
